user_name,user_location,user_description,user_created,user_followers,user_friends,user_favourites,user_verified,date,text,hashtags,source,is_retweet
TeslaCamera,,"Gathering point for Tesla enthusiasts! Share your own Tesla videos and join our community. 🚀⚡️🚘

#model3 #modely #models #modelx #cybertruck #Tesla #fsd",,51551,84,14550,False,Mon May 05 15:23:19 +0000 2025,"Tesla Model Y Vandalized  What do you think? 2 idiots should go to jail.   

Please share to make this stupid man famous!😤 $TSLA https://t.co/f02dVJCmqd",[],"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",False
TonyLaneNV,Las Vegas,𝕏 Breaking News & Bold Takes 📰 | Committed to Nevada & America’s future 🇺🇸 | Advocate for #SchoolChoice 🎓 | #UNLV Alum | #BTB Supporter | MAGA | MAHA | 🦅,,64089,39550,43375,False,Tue May 06 01:43:29 +0000 2025,"It’s wild how Tesla vandals all have the same energy.

Let’s make him famous! 

Thoughts? 🇺🇸 ⬇️ https://t.co/3eqWIiaJWR",[],"<a href=""https://tweethunter.io"" rel=""nofollow"">Tweet Hunter Pro</a>",False
teslaownersSV,Silicon Valley,The most notorious Tesla Club in the world. Creator of @thextakeover and taking the Takeover global. We amplify sustainability and philanthropy.,,1182595,671,165913,False,Thu May 08 00:10:18 +0000 2025,Starship is the largest flying object ever made.  https://t.co/Xc7PXb2DJ0,[],"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",False
teslacarsonly,𝕏,Photos and videos for Tesla cars. DM for credit and taking content down. Disclosure: Not affiliated with @Tesla.,,69846,30,60520,False,Mon May 05 09:21:02 +0000 2025,Driverless Tesla delivers coffee ordered online in Dubai. https://t.co/HoIPhRQCHU,[],"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",False
teslaownersSV,Silicon Valley,The most notorious Tesla Club in the world. Creator of @thextakeover and taking the Takeover global. We amplify sustainability and philanthropy.,,1182595,671,165913,False,Wed May 07 02:08:04 +0000 2025,Sam Altman running a for profit Open AI https://t.co/V8I9oQ9eW7,[],"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",False
GuntherEagleman,CA to Texas in 2007,David J. Freeman - Political Commentator - America First - MAGA - Trump Supporter - Unfiltered,,1413152,102473,983695,False,Sat May 03 22:21:38 +0000 2025,Got him!  Make this clown famous!  No one fcks with my Tesla S plaid. 🤣 https://t.co/TLk0BeJlj7,[],"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",False
niccruzpatane,,Deep dive into everything Tesla,,51933,156,20197,False,Wed May 07 17:30:48 +0000 2025,"We are living in a world where you can get a Tesla Model 3 for the around the same price as a Toyota Prius. (w/tax credit)

Insane. https://t.co/unCi6wSRoa",[],"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",False
teslacarsonly,𝕏,Photos and videos for Tesla cars. DM for credit and taking content down. Disclosure: Not affiliated with @Tesla.,,69846,30,60520,False,Thu May 08 13:13:37 +0000 2025,Tesla green shining. https://t.co/9pg1K9Ws9N,[],"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",False
Osint613,NY - Northern Israel,Monitoring Real-Time News & Open Source Intelligence • Middle East • US • Global Events • Anything on my mind • https://t.co/EdfPtw4fiP • DM for Business Inquiries,,412719,622,16333,False,Thu May 08 11:59:54 +0000 2025,"WILD FOOTAGE 🔴

A 98-year-old British WWII veteran drives a tank to crush a Tesla, saying, “We crushed fascism before and we’ll crush it again.” He calls out Musk, Tesla, Putin, Trump, and the global far-right. https://t.co/UdIMiFHl1n",[],"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",False
teslaownersSV,Silicon Valley,The most notorious Tesla Club in the world. Creator of @thextakeover and taking the Takeover global. We amplify sustainability and philanthropy.,,1182595,671,165913,False,Fri May 02 06:49:33 +0000 2025,"I support Elon Musk. 

He is not a Nazi and loves humanity. 

Legacy media hates the impact he’s having.
 https://t.co/pdt11Hoel5",[],"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",False
DriveTeslaca,Canada,"Canada’s #1 source for Tesla, EV, and Elon Musk news (not affiliated with Tesla)",,66000,1711,44032,False,Mon May 05 16:38:11 +0000 2025,"The definition of stupidity?

Guy slashes a Cybertruck tire, then comes back after shopping and slashes it again for good measure. 

All while he’s parked next to the @Cybertruck with his license plate clearly framed for Sentry Mode. 🤦‍♂️ 

Police report has been filed, only a matter of time until this guy is arrested. FAFO. 

🎥: Heath H",[],"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",False
RBReich,"Berkeley, CA","Berkeley professor, former Secretary of Labor. Co-founder, @InequalityMedia. Preorder my new book below:",,1477161,1018,9911,False,Tue May 06 21:45:07 +0000 2025,"When Trump...

-Holds a private dinner for his crypto coin buyers 
-Promotes Teslas on the White House driveway on behalf of a multibillionaire who spent $277M backing him
-Uses state visits to advance his hotel business

It's corruption, plain and simple.",[],"<a href=""https://statusbrew.com"" rel=""nofollow"">Statusbrew</a>",False
EricLDaugh,,Assistant News Director @FLVoiceNews | Marylander-turned-Floridian | Politics & breaking news alerts | https://t.co/55cqQGUClp,,414241,1939,88545,False,Thu May 08 13:22:11 +0000 2025,"What a shame and waste.

98-YO British WW2 veteran drives a tank over a Tesla to show he will ""crush fascism"" again, referencing Elon Musk supporting the right-wing.

""His money comes from Tesla cars. Well, I've got this message for Mr. Musk.""

https://t.co/anhIHtm8XS",[],"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",False
niccruzpatane,,Deep dive into everything Tesla,,51933,156,20197,False,Thu May 08 00:37:13 +0000 2025,Tesla Full Self-Driving Vs Waymo https://t.co/7PqAAZ9wCY,[],"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",False
Teslaconomics,Mars,"I post my conscious thoughts with the world, live life to the fullest, keep things simple, truthful & filter the noise.",,384886,200,70454,False,Tue May 06 19:26:26 +0000 2025,"The best selling vehicle in the world, the Tesla Model Y, doesn’t surprise me that it’s the best selling vehicle in the world anymore https://t.co/wNswZd9XY4",[],"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",False
teslaownersSV,Silicon Valley,The most notorious Tesla Club in the world. Creator of @thextakeover and taking the Takeover global. We amplify sustainability and philanthropy.,,1182595,671,165913,False,Sat May 03 20:25:15 +0000 2025,Tesla Semi is real and their is a whole test fleet of 26 helping with the Tesla supply chain. https://t.co/kFds21iIYq,[],"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",False
teslaownersSV,Silicon Valley,The most notorious Tesla Club in the world. Creator of @thextakeover and taking the Takeover global. We amplify sustainability and philanthropy.,,1182595,671,165913,False,Thu May 08 03:03:47 +0000 2025,"🚨 DOGE Update: Credit Card Cleanup

The audit has now expanded to 32 agencies.
After 10 weeks, over 500,000 cards deactivated. 💳❌

Started with 4.6M active accounts —
Still a long way to go, but the waste is getting crushed. https://t.co/LqhaHh2U4m",[],"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",False
enginozoren,İzmir ,YouTube İçerik Üreticisi - Eğitmen - Danışman,,12611,269,3665,False,Wed May 07 19:52:12 +0000 2025,"Bugün kız kardeşim de Tesla almak istedi, 
Merak etmeyin ALAMADI :)

2003'te sonuç öğrenmek için ÖSYM sitesine hücum ettiğimiz gibi olmuş. 

Talep çok büyük, adet az olabilir ama server yanıt hatası olmaz. Sonraki günler için geliştirme yapılmalı. 

(temsili sipariş jokeyleri)",[],"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",False
modelyturkiye,,"Tesla owner, Tesla fan",,6886,57,236,False,Wed May 07 15:06:44 +0000 2025,Araçlar geldi ama seçip ilerlemeye izin vermedi https://t.co/kirvsJerlX,[],"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",False
teslacarsonly,𝕏,Photos and videos for Tesla cars. DM for credit and taking content down. Disclosure: Not affiliated with @Tesla.,,69846,30,60520,False,Sun May 04 21:10:33 +0000 2025,Elon Musk driving a Cybertruck in Texas. https://t.co/Oi5mMmsBgo,[],"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",False
teslaownersSV,Silicon Valley,The most notorious Tesla Club in the world. Creator of @thextakeover and taking the Takeover global. We amplify sustainability and philanthropy.,,1182595,671,165913,False,Sun May 04 14:23:53 +0000 2025,"I haven’t asked the President for anything ever. 

If there’s a conflict I’ll remove myself. 

Elon Musk
 https://t.co/6dd14vF611",[],"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",False
jeremyjudkins_,"Sarasota, FL",The Best Tesla Cybertruck Influencer ⚡️🔋 🛻,,34546,1205,135366,False,Wed May 07 13:47:45 +0000 2025,Beautiful morning here in Hawaii. Just finished my road trip from Florida. Tesla Haters will say this is not possible. https://t.co/oUp00Uz1Zj,[],"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",False
avcemilcicek41,"Ankara, Türkiye","Avukat, İnsan, Hukuk ve Politika | Ankara Barosu | 28. Dönem Milletvekili Adayı | Lawyer, Politics | İletişim: https://t.co/TLzNC8cgDk | DM ✉️",,107926,900,34570,False,Thu May 08 07:13:56 +0000 2025,"Greetings Elon Musk. @elonmusk

Many opposition X accounts are being blocked illegally in Turkey. If you continue to block our accounts, we, as Turkish users, will be forced to boycott Tesla, X and move to a new platform.

Millions of people will no longer use X. The decision is yours! We want freedom of expression and justice!",[],"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",False
TheSonOfWalkley,,BREAKING TECH STOCKS AND POLITICAL NEWS 24/7. NOT FINANCIAL ADVICE.,,37035,414,156916,False,Wed May 07 13:32:47 +0000 2025,"BREAKING: $TSLA APP ADDS “FULL FUNCTIONALITY CODE” FOR ROBOTAXI 👀

Tesla is ready for launch ! https://t.co/qWWViYmIoi",[],"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",False
teslaownersSV,Silicon Valley,The most notorious Tesla Club in the world. Creator of @thextakeover and taking the Takeover global. We amplify sustainability and philanthropy.,,1182595,671,165913,False,Sun May 04 05:04:59 +0000 2025,"""Grok feels more human, because it is tutored by humans on 𝕏.""
Elon Musk
 https://t.co/qSOwBvPRvs",[],"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",False
Bubblebathgirl,"Cold Spring, NY",SAVE AMERICA NOW,,311302,60464,32912,False,Thu May 01 17:14:20 +0000 2025,".@elonmusk and @Tesla should sue @WSJ for the blatant lie they published Wednesday about Tesla looking for a new CEO.

The board at Tesla told WSJ that report was false BEFORE it was published.

Tesla stock nosedived after the report but has since recovered.

Even so, sue WSJ! https://t.co/420kmBCiAe",[],"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",False
ELonMuskNewssX,United States,"🚨Breaking News Daily! No Affiliations with @elonmusk . Turn on (🔔) Notification to be the first to get Breaking News.
Biggest Elon Musk (News) Fanpage on X",,92137,11,1031,False,Tue May 06 20:22:16 +0000 2025,"Elon Musk runs Tesla, SpaceX, Neuralink, The Boring Company, 𝕏, xAI, and now D.O.G.E

He is doing so much for humanity.
We should be grateful!

Are you grateful?

Yes or No https://t.co/rcAKEQ6s3c",[],"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",False
srkntnyldz,"İstanbul, Türkiye","Bana büyük isimler değil, bana büyük davaya inanmış isimler lazım.",,346972,353,114203,False,Wed May 07 09:00:01 +0000 2025,"Tesla otomatik olarak ileri vitesten geri vitese geçiyor
https://t.co/Eq6NrcYmll",[],"<a href=""https://twitter.com"" rel=""nofollow"">TweetDeck Web App</a>",False
TonyLaneNV,Las Vegas,𝕏 Breaking News & Bold Takes 📰 | Committed to Nevada & America’s future 🇺🇸 | Advocate for #SchoolChoice 🎓 | #UNLV Alum | #BTB Supporter | MAGA | MAHA | 🦅,,64089,39550,43375,False,Tue May 06 13:42:39 +0000 2025,"Wild scene in CA: A man tries to carjack a Tesla at a red light, only to be stopped by brave bystanders who held him until police arrived. 😳

Imagine being bold enough to try stealing a car in broad daylight! What’s happening to our society?

Huge respect to those who stepped in!

Thoughts? ⬇️ 🇺🇸",[],"<a href=""https://tweethunter.io"" rel=""nofollow"">Tweet Hunter Pro</a>",False
TheEXECUTlONER_,"Texas, USA","Don’t mess with Texas🤘🏻 MAGA 🇺🇸 - America First - Political spectator, commentator and political junkie. Loyalty doesn’t cost a cent.💯",,211724,109013,69433,False,Tue May 06 20:41:35 +0000 2025,"Texas Senator Ted Cruz is fuming because Massachusetts Judge Karen Hedges (figures it would be a Karen) let the Tesla terrorist car dealership firebomber go and released to home custody because he was transgender and said keeping him locked up would interfere with his gender transition treatment. 🤯

Ted Cruz called it insanity. 💯

It is complete insanity and this judge should be brought up for review and impeached. Period.",[],"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",False
populicc,,"Popüler kültür, magazin ve viral içerik platformu.
info@populicc.com",,356511,237,55181,False,Tue May 06 19:20:00 +0000 2025,"Tesla'nın direksiyondan direkt vites geçiş özelliği:

https://t.co/T7CubzhHCA",[],"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",False
teslaownersSV,Silicon Valley,The most notorious Tesla Club in the world. Creator of @thextakeover and taking the Takeover global. We amplify sustainability and philanthropy.,,1182595,671,165913,False,Sun May 04 19:50:33 +0000 2025,"And Elon Musk did 

Starbase is officially a city. https://t.co/uhDb0pp9zO",[],"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",False
boolusilan,Seattle,"Daily China FSD Videos! 🚗 Watch highlights! 📽️ | 👨‍💻 12y Amazon, Software Eng & Mgr | 🔋 Long $TSLA investor | Tesla referral: weimin899383",,6872,3376,24442,False,Thu May 08 07:01:36 +0000 2025,"This Tesla overcomes numerous challenges to answer the A.S.S. call.😀

Credit: Douyin AE68 https://t.co/1ci4KXlgOJ",[],"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",False
Tslachan,S.KOREA,🇰🇷 Model Y Owner / Transition to Sustainable Energy! /Referral: https://t.co/z0RyAtHiv3,,49234,590,65274,False,Sun May 04 15:04:58 +0000 2025,Take a look at the Unsupervised Full Self-Driving in operation at Giga Texas! It's on Fox News. Only Elon and Tesla can do it! https://t.co/wF7XuNFnoW,[],"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",False
CRRJA5,,"USAF VET who believes in God,Family, and Country America, despite our problems is still the greatest country in the world 🙏🇺🇸",,377434,2256,10053,False,Thu May 08 00:20:11 +0000 2025,"“TESLA TAKEDOWN: Here’s one vandal who hasn’t heard about Tesla’s surveillance system.

A Tesla Cybertruck’s camera kicked on in time to capture a man walking up to the vehicle to puncture one of the tires in Raymond, New Hampshire, on Friday.

Local police were alerted to the incident.”

Just don’t get vandalism as you sure wouldn’t want your tires punctured you jerk.
You do the crime you do the time.",[],"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",False
teslaownersSV,Silicon Valley,The most notorious Tesla Club in the world. Creator of @thextakeover and taking the Takeover global. We amplify sustainability and philanthropy.,,1182595,671,165913,False,Wed May 07 05:43:08 +0000 2025,"“It's really annoying when a video game gets interrupted by some DEI woke bullshit.”

Elon Musk
 https://t.co/kgkYgdxmmV",[],"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",False
teslaownersSV,Silicon Valley,The most notorious Tesla Club in the world. Creator of @thextakeover and taking the Takeover global. We amplify sustainability and philanthropy.,,1182595,671,165913,False,Wed May 07 20:01:12 +0000 2025,"“I'd like to thank everyone who's a paid subscriber on 𝕏 – It's really important because otherwise, we're totally beholden to the advertisers”

Elon Musk https://t.co/XZl86TBw0x",[],"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",False
HomanNews,"Virginia, USA","Dedicated to sharing insights and updates on Tom Homan’s work in American politics, immigration reform, and national security.🇺🇸 ” No affiliation”",,8443,1430,874,False,Wed May 07 13:18:22 +0000 2025,"Elon Musk has confirmed that if Alex Soros and George Soros are found to have funded the attacks on Tesla dealerships, they will face imprisonment.

Do you agree with Elon Musk?

A. Yes
B. No https://t.co/3odpBHjmYT",[],"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",False
STARFORCEHH,10001,"BFIR! I Am That I Am! JuD/A\H 🦁
King Of Everything! Entertainment & Music!",,136832,75549,92982,False,Thu May 08 00:00:34 +0000 2025,Donald Trumps uncle was sent to see what Nikola Tesla's storage cases had in them...  wow..   maybe the time traveling story is true  . https://t.co/sx5RjAD9NV,[],"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",False
teslaownersSV,Silicon Valley,The most notorious Tesla Club in the world. Creator of @thextakeover and taking the Takeover global. We amplify sustainability and philanthropy.,,1182595,671,165913,False,Sun May 04 02:05:46 +0000 2025,How it started vs how it’s going https://t.co/7WwTO2rj9i,[],"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",False
profontheright,,"Author of Think Better, Write Better and Jennifer’s Monster. Higher Ed Fellow at Campus Reform. Regular contributor to Minding the Campus and the Martin Center.",,27124,581,13512,False,Thu May 08 13:05:23 +0000 2025,FALSE ALARM: Smoke seen near Vatican is actually a burning Tesla. https://t.co/k0Ey4iSU3f,[],"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",False
TeslaCamera,,"Gathering point for Tesla enthusiasts! Share your own Tesla videos and join our community. 🚀⚡️🚘

#model3 #modely #models #modelx #cybertruck #Tesla #fsd",,51551,84,14550,False,Sun May 04 14:33:50 +0000 2025,"People love Tesla because it’s not just a car it’s the future on wheels! 

Share this so everyone can see! 🥰 $TSLA https://t.co/Ubosn0ANVw",[],"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",False
TeslaZoa,,"Christian l TSLA Investor & Model Y Owner l TJM(테주모) member l toss Securities Official Influencer l

테슬라 차량 구입시 아래 ↘️↘️↘️  제 리퍼럴 코드로 할인받으세요 💕",,14728,388,162999,False,Wed May 07 13:40:58 +0000 2025,헉... 아기 펭귄에 심쿵 😍😱🫠 https://t.co/Me3F0AlgEs,[],"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",False
teslaownersSV,Silicon Valley,The most notorious Tesla Club in the world. Creator of @thextakeover and taking the Takeover global. We amplify sustainability and philanthropy.,,1182595,671,165913,False,Thu May 08 04:39:11 +0000 2025,"“For honest, hardworking, and talented people, legal immigration should be quick and easy, while entering the country illegally should be hard.”

Elon Musk
 https://t.co/9diKrcDnb2",[],"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",False
Tesla7771,,"#Trump2024 ,Patriotic American, friend to animals, meme maker,  Sons of Magarchy #SoM ,  Green Frog labs 🐸🧪",,10896,4779,82646,False,Wed May 07 14:22:27 +0000 2025,Hunter and the coon get High 🦝 https://t.co/oEwxlTByHl,[],"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",False
mbalis_bakery,"London, England",Baker https://t.co/RYKsOkL8oR https://t.co/MtKJRtsR1U Whatsapp: 0794857147,,282112,23449,122504,False,Thu May 08 10:41:47 +0000 2025,"You miss a single payment, it drives itself back to Tesla 🤟🏼. https://t.co/kT2x0RsqeF",[],"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",False
teslaownersSV,Silicon Valley,The most notorious Tesla Club in the world. Creator of @thextakeover and taking the Takeover global. We amplify sustainability and philanthropy.,,1182595,671,165913,False,Thu May 08 04:15:36 +0000 2025,Tesla’s newest color. Black diamond: it looks amazing. https://t.co/o0kvkHarMf,[],"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",False
Beefeater_Fella,Bletchley Park,🇬🇧 Beefeater 🇬🇧 #NAFO #Fella 🇺🇦 The Guardian of Facts 🫶 plɹoM uʍop ǝpısdn uɐ uı uoıʇɐɯɹoɟuısıp ɹǝʇunoɔ puɐ sʍǝıΛ 'sʍǝN 👁️,,31308,9211,36606,False,Wed May 07 18:22:38 +0000 2025,Ken and his Sherman vrs a #Tesla and fascism  https://t.co/GC7eTAF4kj,['Tesla'],"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>",False
TeslaCamera,,"Gathering point for Tesla enthusiasts! Share your own Tesla videos and join our community. 🚀⚡️🚘

#model3 #modely #models #modelx #cybertruck #Tesla #fsd",,51551,84,14550,False,Sat May 03 23:24:25 +0000 2025,"Put this clown on blast! You don't f*ck with other people's Teslas! 🤡 $TSLA
https://t.co/t0WwJNfTVl",[],"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",False
teslaownersSV,Silicon Valley,The most notorious Tesla Club in the world. Creator of @thextakeover and taking the Takeover global. We amplify sustainability and philanthropy.,,1182595,671,165913,False,Mon May 05 06:20:18 +0000 2025,"“I started having concerns about three years ago, but I just had an uneasy feeling that something doesn't feel right. The censorship was becoming ridiculous. 

I had the most interacted with account on Twitter before the acquisition, so I was very finely attuned to what the algorithm was showing me or not showing me, who got suspended or didn't get suspended. Twitter was being run at a very far-left basis.”",[],"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",False
TeslaCamera,,"Gathering point for Tesla enthusiasts! Share your own Tesla videos and join our community. 🚀⚡️🚘

#model3 #modely #models #modelx #cybertruck #Tesla #fsd",,51551,84,14550,False,Tue May 06 13:12:12 +0000 2025,"Tesla Cybertruck Vandalized  What do you think?
 
Please share to make this stupid man famous! $TSLA https://t.co/f5H6cxR9Ul",[],"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",False
teslaownersSV,Silicon Valley,The most notorious Tesla Club in the world. Creator of @thextakeover and taking the Takeover global. We amplify sustainability and philanthropy.,,1182595,671,165913,False,Thu May 08 04:39:43 +0000 2025,"""There's no need to even have a college degree at all."" 
Elon Musk
 https://t.co/X0lm0uX49e",[],"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",False
AntiWuCoalition,"Boston, MA",Political commentator focused on Boston area & beyond. Follow for updates/perspectives. 🚫 No racism/hate 🚫For press/biz inquiries: antiwucoalition@proton.me,,43081,749,7401,False,Sun May 04 22:10:28 +0000 2025,The Tesla protests in Boston have been reduced to 4 people and whatever that inflatable thing is https://t.co/uUkvWjuvsj,[],"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",False
PhysInHistory,Nepal,Photos from the history of physics | © with mentioned Archives. Shared for educational purposes. Einstein portrait © Ullsteinbild. Subscribe for curated papers.,,711134,0,1331,False,Sun May 04 05:25:13 +0000 2025,"There are too many distractions in this life for quality of thought, and it's quality of thought, not quantity, that counts.

— Nikola Tesla https://t.co/JRY91pG7fG",[],"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",False
modelyturkiye,,"Tesla owner, Tesla fan",,6886,57,236,False,Wed May 07 16:44:57 +0000 2025,"Onbinlerce insanı şu gün şu saatte araç satacağız diye siteye topladınız ama kaç adet araç koyacağınızı söylemediniz. Siteniz çöktü, kimi kişilerden 250 dolar sipariş bedeli alındı, kimisinden ücret alınmadı ama hesabına araç tanımlandı, kimisi hala sitede siparişin onaylanmasını bekliyor. Tesla gibi bir markaya bu şekilde satış yakışmıyor. Gerekirse 10-15 gün sonra satışaca açacağız ama 10-20 bin araç olacak deyin. Ama bu şekilde 200-300 araç için 2 günde bir insanları sitede toplamayın. @tesla @teslaeurope",[],"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",False
syk4ryo,Londres,"Desprezando canalhas!
Não nos responsabilizamos por danos cerebrais ou lucros cessantes.",,3051,63,26802,False,Wed May 07 13:05:49 +0000 2025,"Quem poderia imaginar que os chineses escolheriam um veículo nacional em vez de um importado pelo tarifador, não é mesmo?

Inclusive, RIVAL na China é a Tesla; não a BYD. https://t.co/glKNjNXODF",[],"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",False
TeslaClubTurkey,"İstanbul, Türkiye","Tesla Club Türkiye, ülkemizdeki tüm Tesla sahipleri ve Tesla siparişi verenleri tek bir çatı altında toplamak için kuruldu.",,3496,71,313,False,Wed May 07 15:16:28 +0000 2025,"@BerkTezveren @emir_tuncyurek 

Tesla Türkiye ailesi, site çöktü hepimiz hata aldık. Talebin yoğun olduğu apaçık belli iken koskoca Tesla bir önlem niye alamıyor? Gerçekten yaptığınız tonla iyi davranış var hepsi için teşekkürler ama bir araba almak bu kadar zor olmamalı!",[],"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",False
gusholderhaber,Türkiye,"Dijital Haber Bülteni | Gusholderhaber, Ücra köşelerdeki olaylardan dahi 'Doğru' bilgi alıp okuyucularına sunar. İletişim: gusholderhaber@gmail.com",,587176,51718,69071,False,Wed May 07 10:22:45 +0000 2025,"Tesla'nın direksiyondan direkt vites geçiş özelliği.

 https://t.co/0GwxszYWRF",[],"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",False
MyViewFNC,,Airs Saturdays at 9p ET on Fox News Channel,,6758,2,23,False,Fri May 02 19:46:21 +0000 2025,Strap in! Lara sits down with @elonmusk &amp; takes you inside @Tesla's headquarters for an exclusive tour!  Tune in tomorrow night @ 9PM for a MAJOR episode of ‘My View!’ https://t.co/1cVNkPyuRP,[],"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",False
FT,London,Big stories and breaking news as they are published on https://t.co/EYmAcRLBHv. Register here to access free articles: https://t.co/NRg2hritkA,,6112698,1027,40,False,Thu May 08 13:02:35 +0000 2025,Billionaire philanthropist Bill Gates said in an interview that Tesla chief Elon Musk had acted through ignorance during what Gates described as misguided cuts to US development assistance. https://t.co/EkAy1XD23A https://t.co/ALejtiHPNY,[],"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>",False
PolymarketIntel,,"Breaking news & geopolitical insights on Ukraine, the U.S, the Middle East & Europe. Turn on notifications! Powered by @Polymarket.",,807913,178,2500,False,Thu May 08 12:12:13 +0000 2025,"A 98-year-old British WWII veteran ran over a Tesla with a tank, declaring, “We crushed fascism before and we’ll crush it again.” He took aim at Musk, Tesla, Putin, Trump, and the global far-right. https://t.co/NJHrT0LDX0",[],"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",False
cybertruck,FAQ →,📐,,209561,12,2103,False,Wed May 07 15:12:15 +0000 2025,"If you book an appointment with @Tesla Mobile Service in California &amp; New England, I might show up https://t.co/qKzWfBz0GA",[],"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",False
WholeMarsBlog,San Francisco + Los Angeles,"Covering tech, markets, AI, new energy, and autonomous electric vehicles 24/7",,625271,27425,666270,False,Thu May 08 09:04:35 +0000 2025,"Tesla Supercharger Network, North America https://t.co/QsVXYvhmX7",[],"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",False
